Date,BRL_KRW
2024-10-11,241.815222413969
2024-10-14,240.31831842195297
2024-10-15,242.5992552929849
2024-10-16,241.18543270908765
2024-10-17,240.68452680309989
2024-10-18,242.40949982302072
2024-10-21,242.90885302470608
2024-10-22,241.9964546338005
2024-10-23,241.96825449510698
2024-10-24,242.21224800228637
2024-10-25,242.99433932674467
2024-10-28,244.05657490844195
2024-10-29,242.01779467275526
2024-10-30,240.1354164493856
2024-10-31,239.23952984418165
2024-11-01,237.14547791282996
2024-11-04,242.9473623740208
2024-11-05,237.08424469242422
2024-11-06,240.07805248933448
2024-11-07,246.66949826897635
2024-11-08,241.09646103209298
2024-11-11,243.5673802626758
2024-11-12,243.34538082969664
2024-11-13,244.71139472592006
2024-11-14,240.96177623666793
2024-11-15,242.01059844989072
2024-11-18,240.62920187751686
2024-11-19,241.80356904292367
2024-11-20,241.20032299155258
2024-11-21,242.19245507060623
2024-11-22,240.7251382775471
2024-11-25,242.01368490451523
2024-11-26,240.73000926993925
2024-11-27,240.1662849791669
2024-11-28,233.8515179137408
2024-11-29,231.67995717118436
2024-12-02,234.356797332548
2024-12-03,231.3201829943894
2024-12-04,233.60031638173328
2024-12-05,233.6225912864844
2024-12-06,232.93179260476214
2024-12-09,233.9273553110074
2024-12-10,234.76943653240662
2024-12-11,237.20079227552995
2024-12-12,240.08433001165025
2024-12-13,238.13145169765167
2024-12-16,237.456322147386
2024-12-17,232.84206561337894
2024-12-18,235.3552322784435
2024-12-19,230.80348286982058
2024-12-20,233.67091135153612
2024-12-23,237.5694530785725
2024-12-24,232.9227023261175
2024-12-25,235.34879715906783
2024-12-26,235.75241455314458
2024-12-27,238.59315254548076
2024-12-30,237.7900265837955
2024-12-31,237.52246770704883
2025-01-02,233.89205951112035
2025-01-03,239.2537829520707
2025-01-06,237.11393057805932
2025-01-07,238.64769152882099
2025-01-08,237.97799729027662
2025-01-09,238.78442373641957
2025-01-10,241.14772035785248
2025-01-13,241.11925279189148
2025-01-14,239.42134346722344
2025-01-15,241.20366210433323
2025-01-16,239.05059706958315
2025-01-17,240.22214137313102
2025-01-20,240.24741665124841
2025-01-21,238.07258018665726
2025-01-22,236.82252233189863
2025-01-23,241.45918030537325
2025-01-24,242.05437296073546
2025-01-27,241.59854993605555
2025-01-28,240.62723239756806
2025-01-29,246.45412295871748
2025-01-30,246.4391142114938
2025-01-31,245.40983637695683
2025-02-03,249.42300891546006
2025-02-04,251.291729862276
2025-02-05,251.89071019426822
2025-02-06,248.82215014624043
2025-02-07,250.3515382127192
2025-02-10,249.9689917792923
2025-02-11,251.12062589937355
2025-02-12,251.66969632727373
2025-02-13,251.91173301155982
2025-02-14,249.48238648608373
2025-02-17,251.28042753755884
2025-02-18,252.32226882362144
2025-02-19,253.1519073276803
2025-02-20,251.7315404307935
2025-02-21,251.1181511167468
2025-02-24,250.26872315972537
2025-02-25,247.26539579968002
2025-02-26,249.02878865940946
2025-02-27,247.24132848342992
2025-02-28,248.30620473817413
2025-03-03,248.24841914508139
2025-03-04,242.16095164354184
2025-03-05,246.84403211871995
2025-03-06,251.39458418781405
2025-03-07,250.9977437320201
2025-03-10,250.09252202824715
2025-03-11,248.94155414744225
2025-03-12,249.8054664291983
2025-03-13,249.87926178657472
2025-03-14,250.6217065054787
2025-03-17,252.4213533932007
2025-03-18,254.04586684296098
2025-03-19,255.45034894585564
2025-03-20,255.55320202985064
2025-03-21,258.34433341673224
2025-03-24,255.65136159417247
2025-03-25,254.52542161742167
2025-03-26,256.5790328048189
2025-03-27,255.63443842957233
2025-03-28,254.71574445855742
2025-03-31,255.19008454315122
2025-04-01,258.3110970827764
2025-04-02,258.73830434217234
2025-04-03,258.84845811123415
2025-04-04,257.64218022964417
2025-04-07,249.74528748114037
2025-04-08,248.5710834579634
2025-04-09,247.14050840851365
2025-04-10,248.18238896396053
2025-04-11,246.76511765706405
